,open,close,high,low,volume,money
2017-03-06,6457.59,6517.32,6518.04,6457.59,6727767200.0,83853156141.0
2017-03-07,6517.85,6523.19,6523.36,6491.26,6853491500.0,82330583705.0
2017-03-08,6519.97,6497.09,6525.19,6478.55,6306736900.0,75049470141.0
2017-03-09,6484.58,6439.38,6484.83,6425.0,6423898200.0,73949329067.0
2017-03-10,6436.76,6447.92,6464.6,6436.64,5635992900.0,69999414897.0
2017-03-13,6444.56,6507.9,6508.07,6412.71,6491243000.0,81201111069.0
2017-03-14,6508.37,6493.48,6518.78,6480.08,6027199500.0,74548113277.0
2017-03-15,6486.3,6486.06,6499.54,6471.72,5575008500.0,69104007281.0
2017-03-16,6499.83,6543.34,6543.34,6499.83,6865461900.0,84809251031.0
2017-03-17,6543.56,6483.25,6555.58,6480.29,7306370600.0,89911150469.0
2017-03-20,6484.54,6498.34,6498.57,6451.35,6164478300.0,76363964979.0
2017-03-21,6494.77,6515.95,6516.01,6484.69,5899504200.0,75784024757.0
2017-03-22,6486.3,6499.79,6514.63,6459.98,7227336600.0,88332148328.0
2017-03-23,6502.13,6512.19,6533.65,6445.81,7691114700.0,95665083643.0
2017-03-24,6509.23,6546.61,6552.75,6500.07,8354782200.0,99764242487.0
2017-03-27,6545.45,6516.03,6555.79,6510.44,7748273700.0,91609824450.0
2017-03-28,6509.04,6498.69,6519.09,6483.64,6126211400.0,74546542337.0
2017-03-29,6504.25,6480.54,6522.51,6461.54,8561404800.0,94145712453.0
2017-03-30,6467.06,6375.74,6471.94,6369.12,9651272400.0,102559153021.0
2017-03-31,6374.56,6401.65,6402.22,6365.45,7208277200.0,81869918412.0
2017-04-05,6450.9,6539.97,6539.97,6450.9,9701497800.0,110261623595.0
2017-04-06,6554.75,6559.65,6569.7,6535.04,9747113500.0,106538080097.0
2017-04-07,6554.26,6578.73,6593.95,6544.24,10059667100.0,115145780026.0
2017-04-10,6575.46,6566.54,6595.2,6556.08,10252932300.0,117949775725.0
2017-04-11,6566.84,6629.17,6632.0,6531.53,12773804800.0,148200620589.0
2017-04-12,6625.88,6576.48,6626.76,6571.48,11417302700.0,125634063396.0
2017-04-13,6569.24,6615.7,6627.7,6562.76,8771144000.0,95722060561.0
2017-04-14,6623.45,6528.16,6623.8,6522.79,9751115100.0,107518934105.0
2017-04-17,6500.95,6456.6,6502.04,6426.28,8753220700.0,99323748147.0
2017-04-18,6452.92,6418.21,6491.81,6416.17,8018564100.0,91417770877.0
2017-04-19,6390.33,6350.65,6401.41,6285.99,8700044700.0,95577254209.0
2017-04-20,6349.41,6347.77,6377.8,6299.89,7917415700.0,92055492681.0
2017-04-21,6345.77,6300.71,6364.67,6296.81,6087110100.0,72187532636.0
2017-04-24,6282.33,6138.5,6282.74,6137.92,7077136800.0,78586553277.0
2017-04-25,6139.48,6160.46,6203.68,6131.95,6465772900.0,73714024619.0
2017-04-26,6159.89,6176.4,6195.32,6157.4,6974602900.0,81432873560.0
2017-04-27,6157.52,6192.3,6205.23,6052.88,8935778900.0,101691925177.0
2017-04-28,6174.14,6211.86,6214.16,6166.8,6676916700.0,76705995604.0
2017-05-02,6205.1,6216.11,6216.49,6186.17,7028900300.0,83553106435.0
2017-05-03,6205.68,6197.48,6225.63,6174.69,7247544700.0,85574278198.0
2017-05-04,6180.03,6176.31,6236.89,6151.81,7741351300.0,89915586361.0
2017-05-05,6155.2,6089.68,6164.25,6089.09,7155199600.0,81292488330.0
2017-05-08,6076.46,5975.54,6083.36,5975.22,6718255500.0,76311198234.0
2017-05-09,5953.84,6012.0,6012.44,5919.6,5472699300.0,62722952719.0
2017-05-10,6010.73,5885.84,6038.97,5885.52,6264566000.0,71467192554.0
2017-05-11,5856.41,5872.64,5873.91,5731.48,7305431400.0,77588395749.0
2017-05-12,5859.34,5863.78,5889.93,5820.29,5668562800.0,62606811862.0
2017-05-15,5880.7,5893.51,5912.27,5880.7,4972593300.0,58911836309.0
2017-05-16,5882.33,6014.73,6014.88,5839.22,7342661600.0,84036099309.0
2017-05-17,6006.47,6027.65,6055.92,6001.04,7314690900.0,84588690909.0
2017-05-18,5983.35,5976.3,6030.11,5965.35,6006212500.0,70971740790.0
2017-05-19,5973.77,5974.98,5990.44,5942.61,5506815200.0,64668962901.0
2017-05-22,5962.29,5888.81,5987.31,5873.04,6089413900.0,66101128000.0
2017-05-23,5879.56,5764.88,5893.82,5760.32,6491864700.0,70779450169.0
2017-05-24,5740.44,5799.25,5799.68,5668.72,5813084700.0,62845340538.0
2017-05-25,5788.56,5850.8,5859.5,5740.8,7068395700.0,75351887954.0
2017-05-26,5843.52,5836.93,5871.21,5833.09,5925619900.0,65692499036.0
2017-05-31,5887.94,5824.1,5913.18,5820.21,5847776900.0,66221305694.0
2017-06-01,5810.42,5710.0,5810.6,5709.69,6027890500.0,65490263888.0
2017-06-02,5696.83,5772.52,5780.5,5655.76,5886884700.0,61562500697.0
2017-06-05,5778.19,5815.8,5830.05,5777.95,5433329200.0,59775835963.0
2017-06-06,5808.97,5841.52,5841.88,5793.44,4878150000.0,53237820722.0
2017-06-07,5838.88,5955.02,5955.02,5836.44,7466605900.0,81742004615.0
2017-06-08,5947.98,5958.98,5972.73,5940.72,6650654700.0,74753009505.0
2017-06-09,5952.41,5969.27,5971.53,5922.73,6210987400.0,69574732886.0
2017-06-12,5943.64,5902.86,5950.04,5896.4,6035967500.0,70214585117.0
2017-06-13,5895.47,5980.06,5986.87,5894.23,6042416900.0,70753185224.0
2017-06-14,5976.01,5966.43,5992.78,5958.2,6092696300.0,71476434180.0
2017-06-15,5959.47,6021.17,6024.38,5959.19,6499111000.0,73277153514.0
2017-06-16,6016.97,6013.0,6027.4,6003.26,5691259600.0,66287703874.0
2017-06-19,6010.94,6057.41,6057.41,6009.22,5923158500.0,67315215224.0
2017-06-20,6061.11,6066.9,6089.81,6058.69,6612240800.0,77790508880.0
